billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs
Johntá Austin,Johnta Austin,0DRTDBGl9fBAzVdF1IFA75,,NA,NAME_MISMATCH - verify correct artist,2,2007,Shortie Like Mine | Outta My System
Kim Petras,Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,,NA,NO_GENRES - artist has no genre tags,2,"2022, 2023",Unholy
Lady Saw,Lady Saw,2X1VgNqQOiSbkyel3a9rjK,"dancehall, ragga, reggae, soca, riddim","['dancehall', 'ragga', 'reggae', 'soca', 'riddim']",OK,2,"2002, 2003",Underneath It All
Lauren Bennett,Lauren Bennett,2jLE4BoXHriQ96JagEtiDP,,NA,NO_GENRES - artist has no genre tags,2,"2011, 2012",Party Rock Anthem
Lil Jon & the East Side Boyz,Lil Jon & The East Side Boyz,3ciRvbBIVz9fBoPbtSYq4x,"crunk, southern hip hop","['crunk', 'southern hip hop']",NAME_MISMATCH - verify correct artist,2,2004,Salt Shaker | Get Low
Mr Probz,Mr. Probz,33W1pnW9zScZtYTnAoWnOT,,NA,NAME_MISMATCH - verify correct artist,2,2015,Waves | Robin Schulz
NLE Choppa,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,,NA,NO_GENRES - artist has no genre tags,2,"2019, 2020",Shotta Flow | Walk Em Down
Pooh Shiesty,Pooh Shiesty,5F1aAS1duwlzExnPs3l2Xe,,NA,NO_GENRES - artist has no genre tags,2,2021,Back in Blood | Beat Box
Psy,PSY,2dd5mrQZvg6SmahdgVKDzh,k-pop,['k-pop'],NAME_MISMATCH - verify correct artist,2,"2012, 2013",Gangnam Style
Puddle of Mudd,Puddle Of Mudd,3dXaa6jwM7B52GZpaJEIr5,post-grunge,['post-grunge'],NAME_MISMATCH - verify correct artist,2,"2002, 2003",Blurry | She Hates Me
Rauw Alejandro,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"reggaeton, urbano latino, trap latino, latin","['reggaeton', 'urbano latino', 'trap latino', 'latin']",OK,2,"2021, 2022",Todo de Ti | Party
Saweetie,Saweetie,6cK3NBO6uP7hh0oyuVELFl,,NA,NO_GENRES - artist has no genre tags,2,"2019, 2021",My Type | Best Friend
Shaed,Shaed,62hlGp8kKJMHLMY6EsHKeQ,,NA,NO_GENRES - artist has no genre tags,2,"2019, 2020",Trampoline
Silk Sonic,Silk Sonic,6PvvGcCY2XtUcSRld1Wilr,,NA,NO_GENRES - artist has no genre tags,2,"2021, 2022",Leave the Door Open | Smokin out the Window
Sisqó,Sisqó,3b3Y10Oso9so2J5JZNyh3u,,NA,NO_GENRES - artist has no genre tags,2,2000,Thong Song | Incomplete
Steve Lacy,Steve Lacy,57vWImR43h4CaDao012Ofp,,NA,NO_GENRES - artist has no genre tags,2,"2022, 2023",Bad Habit
Tate McRae,Tate McRae,45dkTj5sMRSjrmBSBeiHym,,NA,NO_GENRES - artist has no genre tags,2,"2021, 2022",You Broke Me First | She's All I Wanna Be
Too Short,Too Short,3B1hEK4xKbJVNEhB6qTScQ,,NA,NO_GENRES - artist has no genre tags,2,"2006, 2014",Bossy | Loyal
Tyler Hubbard,Tyler Hubbard,3BEV5FcxOtkQJ7lLRKMh3V,country,['country'],OK,2,"2022, 2023",5 Foot 9 | Dancin' in the Country
Vita,Vitalic,4M84umUNRbZy1mJleyyRM9,"electroclash, french house, electro, electronica","['electroclash', 'french house', 'electro', 'electronica']",NAME_MISMATCH - verify correct artist,2,"2001, 2002",Put It on Me | Down 4 U
YNW Melly,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,melodic rap,['melodic rap'],OK,2,"2019, 2020",Murder on My Mind | Suicidal
YoungBloodZ,Sean Paul,2ZVEnkCKF0ytNHpj9cLxte,,NA,NAME_MISMATCH - verify correct artist,2,"2003, 2004",Damn!
Zayn,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,,NA,NAME_MISMATCH - verify correct artist,2,"2016, 2017",Pillowtalk | I Don't Wanna Live Forever
'N Sync,'N Sync,7b2BqxGdAQcsRqNYhhvvJZ,,NA,NO_GENRES - artist has no genre tags,1,2000,It's Gonna Be Me
070 Shake,070 Shake,12Zk1DFhCbHY6v3xep2ZjI,,NA,NO_GENRES - artist has no genre tags,1,2023,Escapism
42 Dugg,42 Dugg,45gHcnDnMC15sgx3VL7ROG,,NA,NO_GENRES - artist has no genre tags,1,2020,We Paid
6lack,6LACK,4IVAbR2w4JJNJDDRFP3E83,,NA,NAME_MISMATCH - verify correct artist,1,2021,Calling My Phone
ASAP Ferg,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,['rap'],NAME_MISMATCH - verify correct artist,1,2018,Plain Jane
Adassa,Adassa,72kqSqk124Vnl1wtT6q9Fh,,NA,NO_GENRES - artist has no genre tags,1,2022,We Don't Talk About Bruno
Ali,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,"grunge, post-grunge","['grunge', 'post-grunge']",NAME_MISMATCH - verify correct artist,1,2003,Air Force Ones
Arizona Zervas,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,,NA,NO_GENRES - artist has no genre tags,1,2020,Roxanne
Awolnation,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,,NA,NAME_MISMATCH - verify correct artist,1,2013,Sail
BJ the Chicago Kid,BJ The Chicago Kid,07d5etnpjriczFBB8pxmRe,,NA,NAME_MISMATCH - verify correct artist,1,2014,Studio
BRS Kash,BRS Kash,5jJjvmEwRr8epuGZq4eUUa,,NA,NO_GENRES - artist has no genre tags,1,2021,Throat Baby (Go Baby)
Baby,BABYMONSTER,1SIocsqdEefUTE6XKGUiVS,k-pop,['k-pop'],NAME_MISMATCH - verify correct artist,1,2003,Hell Yeah
Baby Boy da Prince,Baby Boy Da Prince,15Y1yUEchPPl4w20CLvFyb,,NA,NAME_MISMATCH - verify correct artist,1,2007,The Way I Live
Beabadoobee,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,bedroom pop,['bedroom pop'],NAME_MISMATCH - verify correct artist,1,2020,Death Bed
Benee,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,,NA,NAME_MISMATCH - verify correct artist,1,2020,Supalonely
Bipolar Sunshine,Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,,NA,NO_GENRES - artist has no genre tags,1,2016,Middle
Bizarrap,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"argentine trap, trap latino, urbano latino","['argentine trap', 'trap latino', 'urbano latino']",OK,1,2023,"Bzrp Music Sessions, Vol. 53"
Blink 182,blink-182,6FBDaR13swtiWwGhX1WQsP,"pop punk, punk, rock, skate punk, emo","['pop punk', 'punk', 'rock', 'skate punk', 'emo']",NAME_MISMATCH - verify correct artist,1,2000,All the Small Things
Blueface,Blueface,3Fl1V19tmjt57oBdxXKAjJ,,NA,NO_GENRES - artist has no genre tags,1,2019,Thotiana
Bomba Estéreo,Bomba Estéreo,5n9bMYfz9qss2VOW89EVs2,"latin alternative, electrocumbia","['latin alternative', 'electrocumbia']",OK,1,2022,Ojitos Lindos
Bone Thugs-n-Harmony,Bone Thugs-N-Harmony,5spEJXLwD1sKUdC2bnOHPg,"gangster rap, old school hip hop, g-funk","['gangster rap', 'old school hip hop', 'g-funk']",NAME_MISMATCH - verify correct artist,1,2007,I Tried
Brendon Urie,Brendon Urie,6eYFryfcEu3QSq59D62wZQ,,NA,NO_GENRES - artist has no genre tags,1,2019,Me!
CJ,CJ,02GmR27EYUG8oYH3oHpOCO,,NA,NO_GENRES - artist has no genre tags,1,2021,Whoopty
CKay,CKay,048LktY5zMnakWq7PTtFrz,"afrobeats, afrobeat, afro r&b, afropop","['afrobeats', 'afrobeat', 'afro r&b', 'afropop']",OK,1,2022,Love Nwantiti (Ah Ah Ah)
Carolina Gaitán,Carolina Gaitán - La Gaita,29PgYEggDV3cDP9QYTogwv,,NA,NAME_MISMATCH - verify correct artist,1,2022,We Don't Talk About Bruno
Cash Out,Cash Out,1GUUilbHrYtNuHToDI73gn,,NA,NO_GENRES - artist has no genre tags,1,2012,Cashin' Out
Cee Lo Green,CeeLo Green,5nLYd9ST4Cnwy6NHaCxbj8,,NA,NAME_MISMATCH - verify correct artist,1,2005,Sugar (Gimme Some)
Cheb Mami,Cheb Mami,6vZXamchcIOKzC1c3Elp4J,"raï, gnawa, moroccan pop, moroccan chaabi, algerian chaabi","['raï', 'gnawa', 'moroccan pop', 'moroccan chaabi', 'algerian chaabi']",OK,1,2000,Desert Rose
Chencho Corleone,Chencho Corleone,37230BxxYs9ksS7OkZw3IU,reggaeton,['reggaeton'],OK,1,2022,Me Porto Bonito
Cherine Anderson,Cherine Anderson,1d5nqaOa3PXgjrHv7hEQg4,"lovers rock, reggae, riddim, dancehall","['lovers rock', 'reggae', 'riddim', 'dancehall']",OK,1,2009,Say Hey (I Love You)
City Spud,City Spud,3L2SIGZah4QZSvN4wC8rHl,,NA,NO_GENRES - artist has no genre tags,1,2001,Ride wit Me
Corey Kent,Corey Kent,3sUpZrkehiGBaMzs2h9Mmc,"country, texas country","['country', 'texas country']",OK,1,2023,Wild as Her
Cédric Gervais,Cedric Gervais,4Wjf8diP59VmPG7fi4y724,edm,['edm'],NAME_MISMATCH - verify correct artist,1,2013,Summertime Sadness
DHT,DHT,7lVtH5UmhLGyfN9iS2FFk7,,NA,NO_GENRES - artist has no genre tags,1,2005,Listen to Your Heart
DJ Frank E,DJ Frank E,4yt2wdqvcHygghx9iNUb6i,,NA,NO_GENRES - artist has no genre tags,1,2011,Tonight (I'm Lovin' You)
Darell,Darell,1TtXnWcUs0FCkaZDPGYHdf,"reggaeton, trap latino, dembow, urbano latino","['reggaeton', 'trap latino', 'dembow', 'urbano latino']",OK,1,2018,Te Boté
David Kushner,David Kushner,33NVpKoXjItPwUJTMZIOiY,,NA,NO_GENRES - artist has no genre tags,1,2023,Daylight
Diane Guerrero,Diane Guerrero,18MFcGBHtyW0mU3ufcm0X1,,NA,NO_GENRES - artist has no genre tags,1,2022,We Don't Talk About Bruno
Diddy – Dirty Money,Diddy - Dirty Money,2QYEvpsWUOjqaYuxDPTCmV,,NA,NAME_MISMATCH - verify correct artist,1,2011,Coming Home
Do,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,,NA,NAME_MISMATCH - verify correct artist,1,2002,Heaven
