billboard_position,song_name,artist,year,genre,genres,song_popularity,song_type
60,Big Pimpin',UGK,2000,dirty south rap,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",,
61,Purest of Pain (A Puro Dolor),Son by Four,2000,deep latin christian,"['deep latin christian', 'latin', 'tropical']",,
62,He Can't Love U,Jagged Edge,2000,atl hip hop,"['atl hip hop', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",46.0,Solo
63,Separated,Avant,2000,dance pop,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",51.0,Solo
64,I Wish,Carl Thomas,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",21.0,Solo
64,I Wish,Carl Thomas,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",41.0,Solo
64,I Wish,Carl Thomas,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",50.0,Solo
64,I Wish,Carl Thomas,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",31.0,Solo
64,I Wish,Carl Thomas,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",63.0,Solo
65,U Know What's Up,Donell Jones,2000,dance pop,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",47.0,Solo
66,Faded,soulDecision,2000,,,75.0,Solo
66,Faded,Thrust,2000,,,75.0,Solo
67,Only God Knows Why,Kid Rock,2000,alternative metal,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",58.0,Solo
68,Shake Ya Ass,Mystikal,2000,crunk,"['crunk', 'dirty south rap', 'gangster rap', 'new orleans rap']",51.0,Solo
69,Bag Lady,Erykah Badu,2000,funk,"['funk', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'soul', 'urban contemporary']",49.0,Collaboration
70,Meet Virginia,Train,2000,neo mellow,"['neo mellow', 'pop', 'pop rock']",64.0,Solo
71,Party Up (Up in Here),DMX,2000,east coast hip hop,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",14.0,Solo
72,Case of the Ex (Whatcha Gonna Do),Mýa,2000,dance pop,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'r&b', 'southern hip hop', 'urban contemporary']",52.0,Solo
73,Forgot About Dre,Dr. Dre,2000,g funk,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",70.0,Collaboration
