song_id,song_name,year,ranking,artist_name,artist_position,artist_role,word_count,artist_genre,artist_genres,match_method
2759,Super Freaky Girl,2023,79,Nicki Minaj,1,primary,579.0,dance pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap']",artist_name
2760,Super Gremlin,2022,9,Kodak Black,1,primary,647.0,florida rap,"['florida rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2761,Superhero (Heroes & Villains),2023,38,Chris Brown,1,primary,606.0,dance pop,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",artist_name
2762,Superhero (Heroes & Villains),2023,38,Future,1,primary,606.0,-,[],artist_name
2763,Superhero (Heroes & Villains),2023,38,Metro Boomin,1,primary,606.0,hip hop,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2764,Superman,2003,98,Eminem,1,primary,1209.0,detroit hip hop,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",artist_name
2765,Superman (It's Not Easy),2002,46,Five for Fighting,1,primary,252.0,acoustic pop,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock', 'post-grunge']",artist_name
2766,Superstar,2008,63,Lupe Fiasco,1,primary,683.0,chicago rap,"['chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",artist_name
2767,Superstar,2008,63,Matthew Santos,1,primary,683.0,-,[],artist_name
2768,Superwoman Pt. II,2001,53,Fabolous,1,primary,497.0,dance pop,"['dance pop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'trap music', 'urban contemporary']",artist_name
2769,Superwoman Pt. II,2001,53,Lil' Mo,1,primary,497.0,hip pop,"['hip pop', 'r&b', 'urban contemporary']",artist_name
2770,Sure Be Cool If You Did,2013,80,Blake Shelton,1,primary,362.0,contemporary country,"['contemporary country', 'country', 'country road']",artist_name
2771,Sure Thing,2011,92,Miguel,1,primary,697.0,dance pop,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",artist_name
2772,Sure Thing,2023,24,Miguel,1,primary,697.0,dance pop,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",artist_name
2773,Surface Pressure,2022,53,Jessica Darrow,1,primary,485.0,,,artist_name
2774,Survivor,2001,23,Destiny's Child,1,primary,822.0,dance pop,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",artist_name
2775,Swalla,2017,85,Jason Derulo,1,primary,513.0,dance pop,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",artist_name
2776,Swalla,2017,85,Nicki Minaj,1,primary,513.0,dance pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap']",artist_name
2777,Swalla,2017,85,Ty Dolla Sign,1,primary,513.0,dance pop,,lyrics_1.00
2778,Swang,2017,64,Rae Sremmurd,1,primary,461.0,hip hop,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2779,Swear It Again,2000,75,Westlife,1,primary,449.0,boy band,"['boy band', 'dance pop', 'europop']",artist_name
2780,Sweater Weather,2014,75,The Neighbourhood,1,primary,366.0,electropop,"['electropop', 'modern alternative rock', 'modern rock', 'pop']",artist_name
2781,Sweet Dreams,2009,66,Beyoncé,1,primary,461.0,dance pop,"['dance pop', 'pop', 'r&b']",artist_name
2782,Sweet Dreams,2010,86,Beyoncé,1,primary,461.0,dance pop,"['dance pop', 'pop', 'r&b']",artist_name
2783,Sweet Nothing,2013,44,Calvin Harris,1,primary,250.0,edm,"['edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",artist_name
2784,Sweet Nothing,2013,44,Florence Welch,1,primary,250.0,uk pop,['uk pop'],artist_name
2785,Sweet but Psycho,2019,23,Ava Max,1,primary,513.0,dance pop,"['dance pop', 'pop', 'post-teen pop']",artist_name
2786,Sweetest Girl (Dollar Bill),2008,56,Akon,1,primary,762.0,dance pop,"['dance pop', 'pop', 'pop rap']",artist_name
2787,Sweetest Girl (Dollar Bill),2008,56,Lil Wayne,1,primary,762.0,hip hop,"['hip hop', 'new orleans rap', 'pop', 'pop rap', 'rap', 'trap music']",artist_name
2788,Sweetest Girl (Dollar Bill),2008,56,Niia,1,primary,762.0,-,[],artist_name
2789,Sweetest Girl (Dollar Bill),2008,56,Wyclef Jean,1,primary,762.0,pop,"['pop', 'rap kreyol']",artist_name
2790,Sweetest Pie,2022,62,Dua Lipa,1,primary,678.0,dance pop,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",artist_name
2791,Sweetest Pie,2022,62,Megan Thee Stallion,1,primary,678.0,dance pop,,lyrics_1.00
2792,Swervin,2019,82,6ix9ine,1,primary,658.0,emo rap,['emo rap'],artist_name
2793,Swervin,2019,82,A Boogie wit da Hoodie,1,primary,658.0,rap,"['rap', 'trap music']",artist_name
2794,Swimming Pools (Drank),2013,79,Kendrick Lamar,1,primary,886.0,conscious hip hop,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",artist_name
2795,Switch,2005,28,Will Smith,1,primary,588.0,hip hop,['hip hop'],artist_name
2796,T-Shirt,2017,52,Migos,1,primary,601.0,atl hip hop,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2797,TQG,2023,65,Karol G,1,primary,379.0,reggaeton,['reggaeton'],artist_name
2798,TQG,2023,65,Shakira,1,primary,379.0,colombian pop,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",artist_name
2799,Take Care,2012,23,Drake,1,primary,549.0,canadian hip hop,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",artist_name
2800,Take Care,2012,23,Rihanna,1,primary,549.0,dance pop,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",artist_name
2801,Take It Off,2010,59,Kesha,1,primary,501.0,dance pop,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",artist_name
2802,Take Me to Church,2015,14,Hozier,1,primary,464.0,folk-pop,"['folk-pop', 'irish singer-songwriter', 'pop']",artist_name
2803,Take My Breath,2021,89,The Weeknd,1,primary,340.0,canadian contemporary r&b,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",artist_name
2804,Take My Name,2022,82,Parmalee,1,primary,355.0,contemporary country,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'modern uplift']",artist_name
2805,Take You There,2008,34,Sean Kingston,1,primary,612.0,dance pop,"['dance pop', 'miami hip hop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",artist_name
2806,Take Your Time,2015,45,Sam Hunt,1,primary,439.0,contemporary country,"['contemporary country', 'country pop']",artist_name
2807,Take a Back Road,2011,90,Rodney Atkins,1,primary,396.0,contemporary country,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",artist_name
2808,Take a Bow,2008,12,Rihanna,1,primary,335.0,dance pop,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",artist_name
2809,Take a Little Ride,2012,88,Jason Aldean,1,primary,347.0,contemporary country,"['contemporary country', 'country', 'country road']",artist_name
2810,Take a Picture,2000,58,Filter,1,primary,293.0,alternative metal,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'industrial rock', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",artist_name
2811,Taki Taki,2019,57,Cardi B,1,primary,526.0,pop,"['pop', 'rap']",artist_name
