from,to,weight,year
acid jazz,soul,0,2021
acid jazz,soul,0,2022
acid jazz,soul,0,2023
acid jazz,soul jazz,0,2000
acid jazz,soul jazz,0,2001
acid jazz,soul jazz,0,2002
acid jazz,soul jazz,0,2003
acid jazz,soul jazz,0,2004
acid jazz,soul jazz,0,2005
acid jazz,soul jazz,0,2006
acid jazz,soul jazz,0,2007
acid jazz,soul jazz,0,2008
acid jazz,soul jazz,0,2009
acid jazz,soul jazz,0,2010
acid jazz,soul jazz,0,2011
acid jazz,soul jazz,0,2012
acid jazz,soul jazz,0,2013
acid jazz,soul jazz,0,2014
acid jazz,soul jazz,0,2015
acid jazz,soul jazz,0,2016
acid jazz,soul jazz,0,2017
acid jazz,soul jazz,0,2018
acid jazz,soul jazz,0,2019
acid jazz,soul jazz,0,2020
acid jazz,soul jazz,0,2021
acid jazz,soul jazz,0,2022
acid jazz,soul jazz,0,2023
acid jazz,trip hop,0,2000
acid jazz,trip hop,0,2001
acid jazz,trip hop,0,2002
acid jazz,trip hop,0,2003
acid jazz,trip hop,0,2004
acid jazz,trip hop,0,2005
acid jazz,trip hop,0,2006
acid jazz,trip hop,0,2007
acid jazz,trip hop,0,2008
acid jazz,trip hop,0,2009
acid jazz,trip hop,0,2010
acid jazz,trip hop,0,2011
acid jazz,trip hop,0,2012
acid jazz,trip hop,0,2013
acid jazz,trip hop,0,2014
acid jazz,trip hop,0,2015
acid jazz,trip hop,0,2016
acid jazz,trip hop,0,2017
acid jazz,trip hop,0,2018
acid jazz,trip hop,0,2019
acid jazz,trip hop,0,2020
acid jazz,trip hop,0,2021
acid jazz,trip hop,0,2022
acid jazz,trip hop,0,2023
acoustic blues,blues,0,2000
acoustic blues,blues,0,2001
acoustic blues,blues,0,2002
acoustic blues,blues,0,2003
acoustic blues,blues,0,2004
acoustic blues,blues,0,2005
acoustic blues,blues,0,2006
acoustic blues,blues,0,2007
acoustic blues,blues,0,2008
acoustic blues,blues,0,2009
acoustic blues,blues,0,2010
acoustic blues,blues,0,2011
acoustic blues,blues,0,2012
acoustic blues,blues,0,2013
acoustic blues,blues,0,2014
acoustic blues,blues,0,2015
acoustic blues,blues,0,2016
acoustic blues,blues,0,2017
acoustic blues,blues,0,2018
acoustic blues,blues,0,2019
acoustic blues,blues,0,2020
acoustic blues,blues,0,2021
acoustic blues,blues,0,2022
acoustic blues,blues,0,2023
acoustic blues,blues-rock,0,2000
acoustic blues,blues-rock,0,2001
acoustic blues,blues-rock,0,2002
acoustic blues,blues-rock,0,2003
acoustic blues,blues-rock,0,2004
acoustic blues,blues-rock,0,2005
acoustic blues,blues-rock,0,2006
acoustic blues,blues-rock,0,2007
acoustic blues,blues-rock,0,2008
acoustic blues,blues-rock,0,2009
acoustic blues,blues-rock,0,2010
acoustic blues,blues-rock,0,2011
acoustic blues,blues-rock,0,2012
acoustic blues,blues-rock,0,2013
acoustic blues,blues-rock,0,2014
acoustic blues,blues-rock,0,2015
acoustic blues,blues-rock,0,2016
acoustic blues,blues-rock,0,2017
acoustic blues,blues-rock,0,2018
acoustic blues,blues-rock,0,2019
acoustic blues,blues-rock,0,2020
acoustic blues,blues-rock,0,2021
acoustic blues,blues-rock,0,2022
acoustic blues,blues-rock,0,2023
acoustic blues,chicago blues,0,2000
acoustic blues,chicago blues,0,2001
acoustic blues,chicago blues,0,2002
acoustic blues,chicago blues,0,2003
acoustic blues,chicago blues,0,2004
acoustic blues,chicago blues,0,2005
acoustic blues,chicago blues,0,2006
acoustic blues,chicago blues,0,2007
acoustic blues,chicago blues,0,2008
acoustic blues,chicago blues,0,2009
acoustic blues,chicago blues,0,2010
